home_team,away_team,home_score,away_score,result,date
Leicester,Fulham,0,2,away_team,2025-01-18
Manchester_United,Brighton,0,0,nehrano,2025-01-18
Newcastle,Bournemouth,1,4,away_team,2025-01-18
Nottingham,Southampton,0,0,nehrano,2025-01-18
West_Ham,Crystal_Palace,0,2,away_team,2025-01-18
Chelsea,Bournemouth,2,2,draw,2025-01-14
Manchester_United,Southampton,3,1,home_team,2025-01-16
Everton,Tottenham,3,2,home_team,2025-01-19
Manchester_United,Brighton,1,3,away_team,2025-01-19
Nottingham,Southampton,3,2,home_team,2025-01-19
Ipswich,Manchester_City,0,6,away_team,2025-01-19
Chelsea,Wolverhampton_Wanderers,3,1,home_team,2025-01-20
Bournemouth,Nottingham,5,0,home_team,2025-01-25
Brighton,Everton,0,1,away_team,2025-01-25
Liverpool,Ipswich,4,1,home_team,2025-01-25
Manchester_City,Chelsea,3,1,home_team,2025-01-25
Southampton,Newcastle,1,3,away_team,2025-01-25
Wolverhampton_Wanderers,Arsenal,0,1,away_team,2025-01-25
Crystal_Palace,Brentford,1,2,away_team,2025-01-26
Tottenham,Leicester,1,2,away_team,2025-01-26
Aston_Villa,West_Ham,1,1,draw,2025-01-26
Fulham,Manchester_United,0,0,nehrano,2025-01-26
Bournemouth,Liverpool,0,2,away_team,2025-02-01
Chelsea,West_Ham,0,0,nehrano,2025-02-01
Everton,Leicester,4,0,home_team,2025-02-01
Ipswich,Southampton,1,2,away_team,2025-02-01
Newcastle,Fulham,1,2,away_team,2025-02-01
Nottingham,Brighton,7,0,home_team,2025-02-01
Wolverhampton_Wanderers,Aston_Villa,2,0,home_team,2025-02-01
Brentford,Tottenham,0,2,away_team,2025-02-02
Manchester_United,Crystal_Palace,0,2,away_team,2025-02-02
Arsenal,Manchester_City,5,1,home_team,2025-02-02
Chelsea,West_Ham,2,1,home_team,2025-02-03
Everton,Liverpool,2,2,draw,2025-02-12
Brighton,Chelsea,0,0,nehrano,2025-02-14
Leicester,Arsenal,0,0,nehrano,2025-02-15
Aston_Villa,Ipswich,0,0,nehrano,2025-02-15
Fulham,Nottingham,0,0,nehrano,2025-02-15
Manchester_City,Newcastle,0,0,nehrano,2025-02-15
Southampton,Bournemouth,0,0,nehrano,2025-02-15
West_Ham,Brentford,0,0,nehrano,2025-02-15
Crystal_Palace,Everton,0,0,nehrano,2025-02-15
Liverpool,Wolverhampton_Wanderers,0,0,nehrano,2025-02-16
Tottenham,Manchester_United,0,0,nehrano,2025-02-16
